uf,0
MG,17083
SC,15645
PR,14876
RJ,8828
RS,8771
SP,8417
BA,6914
GO,6580
ES,5372
PE,5293
MT,4326
CE,3263
RO,3018
MS,2974
PB,2965
RN,2770
PI,2546
MA,2226
DF,2130
PA,1776
AL,1257
SE,1186
TO,1115
AC,554
RR,487
AP,283
AM,238
